user_id,plan,mrr,start_date,end_date
U00002,Free,0,2026-05-19,2026-07-30
U00002,Starter,15,2026-07-30,
U00006,Free,0,2026-03-09,2026-06-24
U00006,Pro,49,2026-06-24,2026-08-02
U00018,Free,0,2025-10-21,2025-11-08
U00018,Starter,15,2025-11-08,2026-02-01
U00024,Free,0,2025-09-25,2026-02-10
U00024,Starter,15,2026-02-10,2026-02-23
U00033,Free,0,2025-07-26,2025-10-14
U00033,Starter,15,2025-10-14,
U00038,Free,0,2025-11-13,2026-01-27
U00038,Starter,15,2026-01-27,
U00040,Free,0,2026-05-30,2026-07-23
U00040,Starter,15,2026-07-23,
U00041,Free,0,2025-09-14,2025-11-04
U00041,Pro,49,2025-11-04,
U00061,Free,0,2025-07-10,2025-10-11
U00061,Pro,49,2025-10-11,2026-05-03
U00063,Free,0,2025-08-06,2026-03-03
U00063,Starter,15,2026-03-03,
U00090,Free,0,2025-03-20,2025-05-08
U00090,Starter,15,2025-05-08,
U00105,Free,0,2025-09-19,2025-11-20
U00105,Enterprise,199,2025-11-20,
U00119,Free,0,2025-10-13,2026-03-12
U00119,Enterprise,199,2026-03-12,2026-06-27
U00148,Free,0,2025-07-15,2026-02-05
U00148,Starter,15,2026-02-05,
U00157,Free,0,2026-05-03,2026-06-15
U00157,Enterprise,199,2026-06-15,
U00167,Free,0,2026-04-12,2026-04-25
U00167,Starter,15,2026-04-25,
U00183,Free,0,2026-02-13,2026-05-12
U00183,Starter,15,2026-05-12,
U00193,Free,0,2025-05-24,2025-07-17
U00193,Starter,15,2025-07-17,
U00210,Free,0,2025-06-25,2025-07-17
U00210,Starter,15,2025-07-17,
U00219,Free,0,2025-11-27,2026-01-19
U00219,Starter,15,2026-01-19,
U00225,Free,0,2025-11-01,2025-11-14
U00225,Starter,15,2025-11-14,
U00226,Free,0,2025-04-02,2026-02-03
U00226,Starter,15,2026-02-03,2026-04-18
U00269,Free,0,2025-04-30,2025-07-18
U00269,Pro,49,2025-07-18,2025-09-06
U00292,Free,0,2025-06-06,2026-06-11
U00292,Starter,15,2026-06-11,
U00295,Free,0,2025-10-01,2025-10-06
U00295,Starter,15,2025-10-06,
U00304,Free,0,2026-07-04,2026-07-09
U00304,Starter,15,2026-07-09,
U00307,Free,0,2025-11-22,2026-07-19
U00307,Enterprise,199,2026-07-19,
U00311,Free,0,2026-03-07,2026-06-01
U00311,Pro,49,2026-06-01,
U00332,Free,0,2025-03-20,2025-04-06
U00332,Pro,49,2025-04-06,2026-06-08
U00333,Free,0,2025-12-30,2026-03-08
U00333,Starter,15,2026-03-08,
U00369,Free,0,2025-08-15,2025-11-12
U00369,Starter,15,2025-11-12,
U00379,Free,0,2025-08-07,2026-07-16
U00379,Starter,15,2026-07-16,
U00394,Free,0,2025-07-09,2025-09-07
U00394,Starter,15,2025-09-07,
U00416,Free,0,2026-03-13,2026-04-01
U00416,Starter,15,2026-04-01,
U00423,Free,0,2025-08-02,2025-10-07
U00423,Pro,49,2025-10-07,
U00428,Free,0,2026-02-20,2026-04-14
U00428,Pro,49,2026-04-14,
U00447,Free,0,2025-02-08,2025-05-27
U00447,Pro,49,2025-05-27,
U00459,Free,0,2026-06-28,2026-07-18
U00459,Enterprise,199,2026-07-18,
U00471,Free,0,2026-03-02,2026-05-15
U00471,Pro,49,2026-05-15,
U00476,Free,0,2025-12-21,2026-08-05
U00476,Starter,15,2026-08-05,
U00482,Free,0,2025-11-17,2026-02-19
U00482,Enterprise,199,2026-02-19,
U00484,Free,0,2025-03-27,2025-04-17
U00484,Pro,49,2025-04-17,2025-09-01
U00498,Free,0,2025-03-30,2026-02-24
U00498,Pro,49,2026-02-24,
U00500,Free,0,2026-01-20,2026-04-08
U00500,Pro,49,2026-04-08,
U00521,Free,0,2026-03-26,2026-04-15
U00521,Pro,49,2026-04-15,
U00523,Free,0,2026-01-11,2026-08-04
U00523,Pro,49,2026-08-04,
U00528,Free,0,2025-02-14,2025-03-23
U00528,Starter,15,2025-03-23,
U00540,Free,0,2026-07-28,2026-08-01
U00540,Starter,15,2026-08-01,
U00544,Free,0,2026-05-07,2026-05-30
U00544,Enterprise,199,2026-05-30,
U00580,Free,0,2026-07-19,2026-07-19
U00580,Starter,15,2026-07-19,
U00586,Free,0,2025-07-17,2026-03-18
U00586,Pro,49,2026-03-18,
U00588,Free,0,2026-03-21,2026-06-06
U00588,Starter,15,2026-06-06,
U00596,Free,0,2025-04-03,2025-05-26
U00596,Starter,15,2025-05-26,2025-07-30
U00597,Free,0,2025-07-11,2025-11-04
U00597,Starter,15,2025-11-04,
U00600,Free,0,2025-08-30,2026-02-18
U00600,Pro,49,2026-02-18,
U00646,Free,0,2026-05-31,2026-06-05
U00646,Enterprise,199,2026-06-05,
U00665,Free,0,2025-09-30,2026-03-31
U00665,Starter,15,2026-03-31,
U00742,Free,0,2025-08-04,2025-12-23
U00742,Pro,49,2025-12-23,
U00746,Free,0,2026-03-20,2026-06-12
U00746,Starter,15,2026-06-12,
U00758,Free,0,2025-06-02,2025-09-03
U00758,Pro,49,2025-09-03,2026-02-23
U00765,Free,0,2026-04-27,2026-05-04
U00765,Pro,49,2026-05-04,
U00771,Free,0,2026-04-15,2026-06-02
U00771,Enterprise,199,2026-06-02,2026-06-07
U00773,Free,0,2025-03-27,2025-04-10
U00773,Starter,15,2025-04-10,2026-05-01
U00781,Free,0,2025-08-10,2025-08-19
U00781,Pro,49,2025-08-19,
U00787,Free,0,2025-08-19,2025-09-12
U00787,Pro,49,2025-09-12,
U00791,Free,0,2025-04-10,2025-06-19
U00791,Starter,15,2025-06-19,
U00795,Free,0,2025-05-20,2026-01-02
U00795,Starter,15,2026-01-02,2026-05-06
U00819,Free,0,2025-05-29,2025-07-25
U00819,Starter,15,2025-07-25,
