user_id,signup_date,acquisition_channel,acquisition_cost,country,device_type,signup_quality_score
U00001,2026-02-23,Referral,4.3,USA,Desktop,0.305
U00002,2026-05-19,Paid Search,27.12,Canada,Mobile,0.768
U00003,2025-06-05,Email,5.93,USA,Desktop,0.129
U00004,2026-04-16,Organic Search,0.0,USA,Desktop,0.708
U00005,2025-12-27,Organic Search,0.0,USA,Mobile,0.178
U00006,2026-03-09,Paid Social,38.58,USA,Desktop,0.408
U00007,2025-06-03,Content/SEO,0.0,USA,Mobile,0.504
U00008,2025-06-19,Referral,8.09,India,Desktop,0.576
U00009,2026-06-03,Affiliate,31.0,India,Desktop,0.345
U00010,2025-07-25,Organic Search,0.0,Australia,Desktop,0.265
U00011,2025-01-05,Content/SEO,0.0,Canada,Desktop,0.447
U00012,2025-09-22,Affiliate,11.92,India,Desktop,0.235
U00013,2025-10-28,Email,3.35,UK,Mobile,0.297
U00014,2025-12-10,Referral,0.75,Germany,Desktop,0.253
U00015,2026-04-18,Paid Search,56.06,USA,Desktop,0.075
U00016,2025-04-20,Paid Search,32.11,USA,Desktop,0.39
U00017,2026-04-08,Referral,7.32,India,Desktop,0.813
U00018,2025-10-21,Organic Search,0.0,USA,Mobile,0.114
U00019,2025-03-17,Referral,2.65,UK,Desktop,0.377
U00020,2025-08-28,Content/SEO,0.0,USA,Desktop,0.89
U00021,2026-01-23,Affiliate,32.17,UK,Desktop,0.555
U00022,2026-03-27,Referral,2.08,Australia,Mobile,0.413
U00023,2026-06-20,Paid Search,37.19,USA,Desktop,0.33
U00024,2025-09-25,Paid Search,31.03,USA,Tablet,0.856
U00025,2026-04-01,Email,4.48,India,Mobile,0.475
U00026,2026-06-15,Paid Search,21.74,Brazil,Desktop,0.281
U00027,2026-05-07,Paid Search,55.73,USA,Desktop,0.403
U00028,2025-10-07,Paid Search,44.77,UK,Mobile,0.394
U00029,2026-02-28,Paid Search,28.78,USA,Tablet,0.474
U00030,2026-06-03,Paid Social,36.16,USA,Desktop,0.503
U00031,2025-10-12,Organic Search,0.0,UK,Mobile,0.602
